LIBGEO,BV2012,LIBBV2012
Crupilly,02361,Guise
Cuffies,02722,Soissons
Cugny,80410,Ham
Cuirieux,02468,Marle
Cuiry-Housse,02722,Soissons
Cuiry-lès-Chaudardes,51250,Fismes
Cuiry-lès-Iviers,02381,Hirson
Cuissy-et-Geny,51250,Fismes
Cuisy-en-Almont,02722,Soissons
Cutry,02795,Vic-sur-Aisne
Cys-la-Commune,02722,Soissons
Dagny-Lambercy,02789,Vervins
Dallon,02691,Saint-Quentin
Dammard,02810,Villers-Cotterêts
Dampleux,02810,Villers-Cotterêts
Danizy,02738,Tergnier
Dercy,02468,Marle
Deuillet,02738,Tergnier
Dhuizel,51250,Fismes
Dizy-le-Gros,51454,Reims
Dohis,02381,Hirson
Dolignon,02789,Vervins
Dommiers,02722,Soissons
Domptin,02163,Charly-sur-Marne
Dorengt,02558,Le Nouvion-en-Thiérache
Douchy,80410,Ham
Dravegny,51250,Fismes
Droizy,02722,Soissons
Dury,80410,Ham
Ébouleau,02468,Marle
Effry,02381,Hirson
Englancourt,02789,Vervins
Épagny,02722,Soissons
Éparcy,02381,Hirson
Épaux-Bézu,02168,Château-Thierry
Épieds,02168,Château-Thierry
L'Épine-aux-Bois,51380,Montmirail
Eppes,02408,Laon
Erlon,02468,Marle
Erloy,02141,La Capelle
Esquéhéries,02558,Le Nouvion-en-Thiérache
Essigny-le-Grand,02691,Saint-Quentin
Essigny-le-Petit,02691,Saint-Quentin
Essises,02168,Château-Thierry
Essômes-sur-Marne,02168,Château-Thierry
Estrées,59139,Caudry
Étampes-sur-Marne,02168,Château-Thierry
Étaves-et-Bocquiaux,02095,Bohain-en-Vermandois
Étouvelles,02408,Laon
Étréaupont,02789,Vervins
Étreillers,02691,Saint-Quentin
Étrépilly,02168,Château-Thierry
Étreux,02558,Le Nouvion-en-Thiérache
Évergnicourt,08362,Rethel
Faucoucourt,02018,Pinon
Faverolles,02810,Villers-Cotterêts
Fayet,02691,Saint-Quentin
La Fère,02738,Tergnier
Fère-en-Tardenois,02305,Fère-en-Tardenois
La Ferté-Chevresis,02408,Laon
